0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
124.7194853,0,111.7203403,166.6661256,400.6275161,203.8785167,249.974792,802.1011946,280.6408707,385.0857962,1204.68119,342.1330965,562.2595548,1608.308774,388.9382143,771.080101,2012.765234,373.9639789,980.4077464,2416.10524,358.4689743,1188.715581,2815.461002,342.368985,1394.031448,3207.491149,325.7766755,1593.791979,3587.95826,308.8941098,1785.344157,3952.630586,291.9686734,1965.803549,4296.856851,275.2613107,2133.082602,4617.164234,258.8274612,2246.768706,4905.812314,239.7075905,2345.736292,5157.437913,222.3922534,2427.617988,5369.383891,207.5601241,2487.218053,5532.371163,196.1589377
93.23184779,0,99.03731366,135.0660682,400.6275161,191.2960095,218.2682594,802.1011946,268.1176562,353.2885239,1204.68119,329.6036503,530.3863249,1608.308774,376.3548272,739.2574366,2012.765234,361.8707229,948.8512953,2416.10524,346.9137154,1157.658048,2815.461002,331.4382187,1363.742011,3207.491149,315.5550099,1564.583711,3587.95826,299.4486723,1757.569763,3952.630586,283.3408583,1939.841993,4296.856851,267.4730266,2109.298275,4617.164234,251.9318144,2225.679994,4905.812314,234.2094339,2327.654873,5157.437913,218.1991572,2412.851816,5369.383891,204.4148421,2476.093419,5532.371163,193.6446112
65.85529981,0,84.05684708,107.5769231,400.6275161,176.3997459,190.6769007,802.1011946,253.2710168,325.6171666,1204.68119,314.7524151,502.6540215,1608.308774,361.4593038,711.5884484,2012.765234,347.5568395,921.4350776,2416.10524,333.2461867,1130.693796,2815.461002,318.5159019,1337.460189,3207.491149,303.4739996,1539.253946,3587.95826,288.28851,1733.497502,3952.630586,273.156534,1917.355661,4296.856851,258.298567,2088.708988,4617.164234,243.8226429,2207.424038,4905.812314,227.7008489,2311.998097,5157.437913,213.1817953,2400.069437,5369.383891,200.6392429,2466.48514,5532.371163,190.7169596
42.87845553,0,67.35714175,84.49006591,400.6275161,159.7672784,167.4941862,802.1011946,236.6780334,302.3661432,1204.68119,298.1561941,479.3571509,1608.308774,344.8283485,688.3649346,2012.765234,331.5766738,898.4459761,2416.10524,317.9952518,1108.103023,2815.461002,304.1018448,1315.457438,3207.491149,290.0009742,1518.062831,3587.95826,275.8453528,1713.373116,3952.630586,261.809193,1898.572535,4296.856851,248.0912046,2071.52229,4617.164234,234.8114135,2192.184898,4905.812314,220.4358271,2298.924277,5157.437913,207.5406873,2389.399707,5369.383891,196.3854354,2458.487713,5532.371163,187.4870434
24.51997131,0,49.622986,66.02718086,400.6275161,142.083286,148.9440029,802.1011946,219.0234273,283.7601509,1204.68119,280.4998817,460.7201832,1608.308774,327.147143,669.8080756,2012.765234,314.5882099,880.1000892,2416.10524,301.7878616,1090.095605,2815.461002,288.7878103,1297.936085,3207.491149,275.6885398,1501.203358,3587.95826,262.6290182,1697.377999,3952.630586,249.7627494,1883.659943,4296.856851,237.2665705,2057.889776,4617.164234,225.2637289,2180.096999,4905.812314,212.7116607,2288.549281,5157.437913,201.5100818,2380.936686,5369.383891,191.8306366,2452.168748,5532.371163,184.0828134
11.00590106,0,31.57024776,52.41742692,400.6275161,124.0623696,135.2577147,802.1011946,201.0200729,270.0312527,1204.68119,262.493767,446.974779,1608.308774,309.1229326,656.1462824,2012.765234,297.2737773,866.6207087,2416.10524,285.2775964,1076.888505,2815.461002,273.1941104,1285.10537,3207.491149,261.1193786,1488.875175,3587.95826,249.1804288,1685.699833,3952.630586,237.5126602,1872.791011,4296.856851,226.2718048,2047.968282,4617.164234,215.5763793,2171.299571,4905.812314,204.8582123,2280.993318,5157.437913,195.355726,2374.777977,5369.383891,187.1791451,2447.597977,5532.371163,180.6537525
2.685692261,0,14.31770291,44.01520139,400.6275161,106.823552,126.7933308,802.1011946,183.7876877,261.5388077,1204.68119,245.2587974,438.4799578,1608.308774,291.8782643,647.7331322,2012.765234,280.7102795,858.3530967,2416.10524,269.4893832,1068.816879,2815.461002,258.2869705,1277.288255,3207.491149,247.1946064,1481.386223,3587.95826,236.3297704,1678.627942,3952.630586,225.8132429,1866.232524,4296.856851,215.7815862,2041.999428,4617.164234,206.3416301,2166.006814,4905.812314,197.3546511,2276.440975,5157.437913,189.4532216,2371.073394,5369.383891,182.7140106,2444.88307,5532.371163,177.403468
1.21305029,0,9.216507656,42.52030899,400.6275161,101.7222918,125.2823774,802.1011946,178.6852819,260.0222129,1204.68119,240.1543573,436.9654665,1608.308774,286.771041,646.2432569,2012.765234,275.8067067,856.9001493,2416.10524,264.8182104,1067.408144,2815.461002,253.8790457,1275.932218,3207.491149,243.0793744,1480.094571,3587.95826,232.534198,1677.415753,3952.630586,222.3604968,1865.116271,4296.856851,212.6894208,2040.98964,4617.164234,203.6228745,2165.111428,4905.812314,195.1452368,2275.668723,5157.437913,187.7131442,2370.446991,5369.383891,181.3983257,2444.435611,5532.371163,176.4554793
0.313270841,0,4.164754379,41.59951373,400.6275161,96.66577211,124.346801,802.1011946,173.6222812,259.0822652,1204.68119,235.0829814,436.0288668,1608.308774,281.6901447,645.3316872,2012.765234,270.9359313,856.0220592,2416.10524,260.1869103,1066.566359,2815.461002,249.517166,1275.130093,3207.491149,239.0153542,1479.337903,3587.95826,228.7939736,1676.713062,3952.630586,218.9662979,1864.476989,4296.856851,209.6584421,2040.417366,4617.164234,200.9669113,2164.604328,4905.812314,193.0013645,2275.229658,5157.437913,186.0353866,2370.092913,5369.383891,180.1367773,2444.193385,5532.371163,175.5561615
0,0,0,41.26995828,400.6275161,92.4989484,124.0063538,802.1011946,169.4543721,258.7398084,1204.68119,230.9163072,435.6908846,1608.308774,277.5261518,645.0139454,2012.765234,266.9350867,855.7287106,2416.10524,256.3732569,1066.29653,2815.461002,245.9157583,1274.882819,3207.491149,235.6500876,1479.11368,3587.95826,225.6872057,1676.514172,3952.630586,216.1379247,1864.306122,4296.856851,207.1240428,2040.272331,4617.164234,198.7364988,2164.475529,4905.812314,191.1779828,2275.114947,5157.437913,184.5889346,2370.003022,5369.383891,179.0389338,2444.14799,5532.371163,174.7709619
